City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Namibe,AO,2022-04-15 03:16:03,-15.1961,12.1522,73.56,79,99,7.56
202,Dimapur,IN,2022-04-15 03:16:04,25.9,93.7333,78.78,69,40,0.0
203,Jamestown,US,2022-04-15 03:12:13,42.097,-79.2353,48.18,42,0,8.05
204,Tetiyiv,UA,2022-04-15 03:16:05,49.3767,29.6647,43.29,67,96,3.29
205,Georgetown,MY,2022-04-15 03:16:05,5.4112,100.3354,85.95,79,20,2.3
206,Paita,PE,2022-04-15 03:16:06,-5.0892,-81.1144,69.26,78,89,14.23
207,Kashi,CN,2022-04-15 03:16:07,39.4547,75.9797,67.21,19,0,6.71
208,Geraldton,AU,2022-04-15 03:16:07,-28.7667,114.6,82.81,39,0,14.97
209,Linjiang,CN,2022-04-15 03:16:08,41.8069,126.9078,52.39,31,27,6.38
210,Kodiak,US,2022-04-15 03:16:08,57.79,-152.4072,42.31,56,75,17.27
211,Quzhou,CN,2022-04-15 03:16:09,28.9594,118.8686,63.03,74,100,10.02
212,Tianpeng,CN,2022-04-15 03:16:09,30.9866,103.9393,52.27,93,100,5.79
213,Concepcion Del Oro,MX,2022-04-15 03:16:10,24.6333,-101.4167,68.43,22,71,6.26
214,Galeana,MX,2022-04-15 03:16:11,24.8333,-100.0667,59.74,87,100,5.39
215,Sandovo,RU,2022-04-15 03:16:11,58.4602,36.4128,34.61,91,99,1.28
216,Port Blair,IN,2022-04-15 03:16:12,11.6667,92.75,86.04,74,20,4.61
217,Aklavik,CA,2022-04-15 03:16:13,68.2191,-135.0107,1.47,90,100,9.73
218,Hounde,BF,2022-04-15 03:16:14,11.5,-3.5167,87.82,33,89,8.25
219,Odesskoye,RU,2022-04-15 03:16:14,54.2111,72.9651,53.83,39,39,8.48
220,Keetmanshoop,NA,2022-04-15 03:16:15,-26.5833,18.1333,55.08,65,12,9.35
221,Alta Floresta,BR,2022-04-15 03:16:16,-9.8756,-56.0861,72.64,96,100,1.32
222,Bosaso,SO,2022-04-15 03:16:16,11.2842,49.1816,80.96,59,18,10.25
223,Araouane,ML,2022-04-15 03:17:17,18.9048,-3.5265,77.95,14,0,9.91
224,Amot,NO,2022-04-15 03:17:18,59.5714,7.9877,34.47,90,97,1.34
225,Korla,CN,2022-04-15 03:17:18,41.7597,86.1469,61.61,17,22,7.43
226,Honiara,SB,2022-04-15 03:17:19,-9.4333,159.95,84.04,76,27,4.52
227,Ribeira Grande,PT,2022-04-15 03:17:19,38.5167,-28.7,60.49,91,52,25.05
228,Cortes,ES,2022-04-15 03:17:20,41.9395,-1.4396,55.45,89,1,8.28
229,Westport,US,2022-04-15 03:14:09,41.1415,-73.3579,61.9,84,100,8.05
230,Srednekolymsk,RU,2022-04-15 03:17:22,67.45,153.6833,18.0,82,100,6.69
231,Vaitape,PF,2022-04-15 03:17:22,-16.5167,-151.75,82.35,71,13,16.89
232,Vardo,NO,2022-04-15 03:17:24,70.3705,31.1107,33.28,78,98,29.08
233,Saldanha,ZA,2022-04-15 03:17:24,-33.0117,17.9442,59.27,76,23,20.67
234,Nago,JP,2022-04-15 03:17:25,26.5881,127.9761,81.45,74,6,12.37
235,Bethel,US,2022-04-15 03:17:26,41.3712,-73.414,59.36,51,75,9.22
236,Mgachi,RU,2022-04-15 03:17:26,51.05,142.2667,35.53,61,4,13.62
237,Bowen,AU,2022-04-15 03:17:27,-20.0167,148.2333,82.08,49,3,18.61
238,Guymon,US,2022-04-15 03:17:27,36.6828,-101.4816,62.6,25,0,17.27
239,Leticia,CO,2022-04-15 03:17:28,-4.2153,-69.9406,73.45,100,100,4.61
240,Keti Bandar,PK,2022-04-15 03:17:29,24.1447,67.4497,81.97,72,57,17.65
241,Shelburne,CA,2022-04-15 03:17:29,44.0787,-80.2041,41.76,55,12,13.69
242,Iberia,US,2022-04-15 03:17:30,29.9502,-91.7507,69.96,78,20,5.75
243,Tuatapere,NZ,2022-04-15 03:09:40,-46.1333,167.6833,65.57,50,95,4.81
244,Kahului,US,2022-04-15 03:17:31,20.8947,-156.47,78.82,68,40,25.32
245,Suhbaatar,MN,2022-04-15 03:17:31,50.2314,106.2078,48.7,24,0,11.81
246,Bilhaur,IN,2022-04-15 03:17:32,26.85,80.0833,93.63,11,5,0.63
247,Codrington,AU,2022-04-15 03:17:33,-38.2667,141.9667,64.29,78,100,6.64
248,Kedougou,SN,2022-04-15 03:17:33,12.5579,-12.1743,83.28,39,77,11.25
249,Carnarvon,AU,2022-04-15 03:17:34,-24.8667,113.6333,82.47,51,1,8.05
250,Ponta Do Sol,PT,2022-04-15 03:14:04,32.6667,-17.1,66.0,83,86,5.19
251,Provideniya,RU,2022-04-15 03:17:35,64.3833,-173.3,35.71,87,100,8.99
252,San Cristobal,VE,2022-04-15 03:17:36,7.7669,-72.225,75.38,80,100,1.74
253,Sinop,TR,2022-04-15 03:17:36,41.7711,34.8709,40.62,87,74,2.77
