City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Turayf,SA,31.6725,38.6637,62.85,17,0,8.05,clear sky
304,Tautira,PF,-17.7333,-149.15,81.3,72,22,12.75,few clouds
305,High Level,CA,58.5169,-117.136,17.71,73,100,14.97,light snow
306,Soyo,AO,-6.1349,12.3689,78.49,92,85,7.54,overcast clouds
307,Mount Isa,AU,-20.7333,139.5,80.37,28,1,8.05,clear sky
308,La Ronge,CA,55.1001,-105.2842,37.65,35,75,4.61,broken clouds
309,Cabo San Lucas,MX,22.8909,-109.9124,90.61,32,20,14.97,few clouds
310,Pimentel,PE,-6.8367,-79.9342,68.29,68,0,23.02,clear sky
311,Les Cayes,HT,18.2,-73.75,77.49,81,95,7.25,overcast clouds
312,Arboledas,CO,7.6423,-72.7994,71.76,89,95,1.59,overcast clouds
313,Krasnoarmeysk,RU,51.0239,45.6969,51.78,69,100,6.46,overcast clouds
314,Mubi,NG,10.2676,13.2644,83.79,50,85,0.94,overcast clouds
315,Nelson Bay,AU,-32.7167,152.15,69.1,82,27,4.99,scattered clouds
316,Ostrovnoy,RU,68.0531,39.5131,33.22,89,100,10.74,overcast clouds
317,Paita,PE,-5.0892,-81.1144,69.62,76,7,18.25,clear sky
318,Constitucion,CL,-35.3333,-72.4167,52.03,94,46,5.12,scattered clouds
319,Chiredzi,ZW,-21.05,31.6667,64.0,91,100,4.92,overcast clouds
320,Candelaria,PH,13.9311,121.4233,78.39,84,58,5.75,broken clouds
321,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.55,83,43,8.43,scattered clouds
322,Uribia,CO,11.7139,-72.266,86.05,54,100,17.96,overcast clouds
323,Marang,MY,5.2056,103.2059,78.71,82,72,1.3,broken clouds
324,San Juan,AR,-31.5375,-68.5364,71.65,28,0,5.86,clear sky
325,Batagay,RU,67.6333,134.6333,14.86,86,50,5.79,scattered clouds
326,Porkhov,RU,57.765,29.5561,31.33,86,73,2.73,broken clouds
327,Vilyuysk,RU,63.7553,121.6247,29.37,96,100,13.51,snow
328,Lagoa,PT,39.05,-27.9833,57.06,66,58,14.97,broken clouds
329,Odweyne,SO,9.4092,45.064,73.04,62,84,6.17,broken clouds
330,Pilar,BR,-9.5972,-35.9567,78.73,86,42,6.93,scattered clouds
331,Naze,JP,28.3667,129.4833,67.12,56,50,4.92,scattered clouds
332,Walla Walla,US,46.0646,-118.343,56.89,37,0,5.99,clear sky
333,Badulla,LK,6.9895,81.0557,69.84,86,71,3.4,broken clouds
334,Kulhudhuffushi,MV,6.6221,73.07,83.61,75,100,9.13,overcast clouds
335,Inta,RU,66.0317,60.1659,28.11,94,79,13.62,broken clouds
336,Tshane,BW,-24.0196,21.8684,63.28,85,20,7.05,light rain
337,Bilma,NE,18.6853,12.9164,81.5,11,40,5.59,scattered clouds
338,Morada Nova,BR,-5.1067,-38.3725,75.92,92,74,5.79,broken clouds
339,Klyuchi,RU,52.2667,79.1667,52.99,61,100,7.16,overcast clouds
340,Buraydah,SA,26.326,43.975,73.85,17,0,9.75,clear sky
341,Uray,RU,60.1247,64.7758,25.45,87,7,4.76,clear sky
342,Bangassou,CF,4.7413,22.8184,68.92,97,40,2.71,light rain
343,Pevek,RU,69.7008,170.3133,7.99,87,29,0.96,scattered clouds
344,Freeport,US,40.6576,-73.5832,49.01,36,0,17.27,clear sky
345,Eydhafushi,MV,5.1033,73.0708,83.46,75,100,8.93,overcast clouds
